Remarks,Sentiment
We have shared the signed NDA with them.,positive
"Had a discussion with Rick Martin, he said they have some requirement related to payroll, enter the hours for sick and vacation time used on ""Payroll Hours"" for hourly. ""Payroll Log Hours for Pay Period"" for salary. We will have to fix a meeting with them.",positive
"We had the discussion with RIck, He shared the NDA. He will share the list of requirements next.",positive
"We have received the project requirement from Snugz. WE need to give estimation for some report customization, Moving configurator functionality to CRM.",positive
Innocent Malunga shared an email saying they are working on US implementation project and will be live on November. They need our assistance and They would like to talk with one of our US customers. I will provide the reference customer this week.,positive
Revised contract for 250 hours signed on 1st October 2025 worth 13750 US Dollars.,positive
Bill wants to have a discussion with us. They are currently on 8.03 and looking for monthly enhancement support.,positive
"Had a discussion with Sciton, They will renew the Contract with 2000 hours. We will have to send the Contract for his review.",positive
2000 Hours Contract signed worth 80000 USD.,positive
500 Hours revised Contract is signed worth 22500 USD.,positive
Bob(Robert) asked to send the email and he will get back to if he has any requirement.,positive
Bill Said he will contact us whenever he has any kind of requirement.,positive
Rajni said she will share our information with the NEW CIO and contact us whenever they need our assistance.,positive
"Ratan talk with Julie, she said she can not work with outside US vendor so he said we have partner in US that we can introduce and she agreed to come for a discussion.",positive
"I had a discussion with Jigisha regarding the ongoing requirements: Quality Control Lead The previous Quality Control Lead, who was responsible for this, has retired. The new person is still getting familiar with their environment and processes. Jigisha has requested that we contact her again after one month, by which time she expects to have better clarity on how they plan to proceed. Factory Track They need to purchase a server, and the procurement is expected to be completed within three weeks. We will also need to follow-up with Jigisha on this item to track progress. Version Upgrade: They don't have immediate plan for CSI 10 upgrade. AI Solution After discussing with the CEO she will let us know when we can schedule a demo for the same.",positive
We have a discussion they liked our pricing and he told us to reach out to him in next week.,positive
"They have a requirement for some special type of projects, they will discuss in the next meeting that is fixed next week.",positive
"We have a discussion with the CFO, they are interested but right now they don't have any projects, if something comes up he will contact us.",positive
"They are in version 9, they have requirements we have to follow-up in january.",positive
"The conference call has been done, they have some requirements and also they have shared their NDA.",positive
They have in place all the documents required by Middleby Corporation to use your company as service provider. They are currently evaluating the requested system change to determine the feasibility and payback of making modification to Syteline. They should complete this task and get local sign off this month.,positive
"I talked to Tariq, he has send the requirements and we have to send him the quote after that next disscussion will initate.",positive
We have to send process document to her after that she will send the requirement.,positive
"We have a discussion with Nadeeka, she has some requirements in future and then she will reach out to us.",positive
"We have a discussion with Tariq, he has given us some requirement related to Eft nacha file creation.",positive
We have a discussion with Rahul Goturi about the infor Ln and he was asking about the requirements about the gst and taxation and we have to send him the relevant documents and after the follow-up we we have to fix the another call with them.,positive
The first project has been completed now we have to reach Frank for some further requirement.,positive
Stephen CFO mailed that he is interested in discussion and asked to schedule the meeting on october 07th10am Wst.,positive
Had a demo with management and the manufacturing team. And second session of demo planed on 20th AUG.,positive
Demo scheduled on 9th Sep at 3PM.,positive
Ashish/Finance controller wants a demo next week.,positive
"Haridas had a onsite meeting with Avinash/MD, they need one more round of demo with their CEO.",positive
Krishna asked me to schedule demo on 16th Feb.,positive
They are preparing the requirement sheet and they will share it with us on March first week.,positive
Had a capacity planning demo with savio team.,positive
Planned one more session of capacity demo on 1st April.,positive
Ebby said he will send time slots for next week on 25 Aug 2025 for to dive deep into our services and also discuss some requirements with us.,positive
Frank has some Syteline project requirements to discuss with our team so fixed call on 9th september 2025 at 8:30 PM PT.,positive
On Tuesday 9 Sept 2025 had meeting with Francisco Castillon has some requirements our project team has to give demo on MRP waiting for our project team to reply.,positive
On Friday 12 Sept 2025 done meeting with Daryll and marlon discussing that marlon has some requirements and daryll said the same rate they have with other vendors but its not that going well so he would like to work with us Daryll discuss this with marlon and will come back to us.,positive
"On 10 / Oct / 2025 We had a discussion with Frank regarding the SyteLine project. During the call, our team requested him to share the spreadsheet for review. Sharath has already sent a follow-up email requesting the actual spreadsheet, and we are currently waiting for Frank's response.",positive
"On Nov 24/2025 We have shared the reference check meeting details with Ebby and requested him to connect with Donna Charron, Director of Information Technology at Malibu Boats Inc.",positive
"On 4 Dec 2025 Linda Fonner would like ro discuss her requirements on automation of AR, AP, and wants to know few dates and time from us to discuss.",positive
"Dec 4, 2025 - Linda confirmed a meeting on Wednesday, Dec 10 at 10:00 AM ET. She requested that Chris Mohler be added to the call.",positive
